Date:	Status:	Description:
12/16/2020 12:00:02 AM	Error	Status Code : GatewayTimeout
12/16/2020 12:00:02 AM	Error	Status Description : Gateway Timeout
12/16/2020 12:00:02 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15265 ms)"}
12/16/2020 12:00:02 AM	Success	Running command successfully: Arduino StopRecordThreshold
12/16/2020 12:00:03 AM	Success	Running command successfully: Arduino TurnOff
12/16/2020 12:00:03 AM	Warning	AWS 5b4de9c195f74bc0bb0649774205181c:pfwFNbQdwOd6RPeOBpeGH00Ei1c=
12/16/2020 12:00:18 AM	Error	Status Code : GatewayTimeout
12/16/2020 12:00:18 AM	Error	Status Description : Gateway Timeout
12/16/2020 12:00:18 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15266 ms)"}
12/16/2020 12:00:18 AM	Success	Running command successfully: Arduino StopRecordThreshold
12/16/2020 12:00:19 AM	Success	Running command successfully: Arduino TurnOff
12/16/2020 12:00:19 AM	Warning	AWS 5b4de9c195f74bc0bb0649774205181c:oBBngovFMy/VtpVKZ2dZISON2+k=
12/16/2020 12:00:34 AM	Error	Status Code : GatewayTimeout
12/16/2020 12:00:34 AM	Error	Status Description : Gateway Timeout
12/16/2020 12:00:34 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15531 ms)"}
12/16/2020 12:00:34 AM	Success	Running command successfully: Arduino StopRecordThreshold
12/16/2020 12:00:35 AM	Success	Running command successfully: Arduino TurnOff
12/16/2020 12:00:35 AM	Warning	AWS 5b4de9c195f74bc0bb0649774205181c:Oy7sAaDbDjpcjIXqhVX5lzktXMk=
12/16/2020 12:00:50 AM	Error	Status Code : GatewayTimeout
12/16/2020 12:00:50 AM	Error	Status Description : Gateway Timeout
12/16/2020 12:00:50 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15515 ms)"}
12/16/2020 12:00:50 AM	Success	Running command successfully: Arduino StopRecordThreshold
12/16/2020 12:00:51 AM	Success	Running command successfully: Arduino TurnOff
12/16/2020 12:00:51 AM	Warning	AWS 5b4de9c195f74bc0bb0649774205181c:cLI37Am7PCvbHf8KFLSJ4MQnUWw=
12/16/2020 12:01:06 AM	Error	Status Code : GatewayTimeout
12/16/2020 12:01:06 AM	Error	Status Description : Gateway Timeout
12/16/2020 12:01:06 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15532 ms)"}
12/16/2020 12:01:06 AM	Success	Running command successfully: Arduino StopRecordThreshold
12/16/2020 12:01:07 AM	Success	Running command successfully: Arduino TurnOff
12/16/2020 12:01:07 AM	Warning	AWS 5b4de9c195f74bc0bb0649774205181c:q0Y2MDESCx9PDtRYzibWLcKrznU=
12/16/2020 12:01:22 AM	Error	Status Code : GatewayTimeout
12/16/2020 12:01:22 AM	Error	Status Description : Gateway Timeout
12/16/2020 12:01:22 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15531 ms)"}
12/16/2020 12:01:22 AM	Success	Running command successfully: Arduino StopRecordThreshold
12/16/2020 12:01:23 AM	Success	Running command successfully: Arduino TurnOff
12/16/2020 12:01:23 AM	Warning	AWS 5b4de9c195f74bc0bb0649774205181c:OzgyUB9l+vTJD2s6+f+44OGGO7k=
12/16/2020 12:01:38 AM	Error	Status Code : GatewayTimeout
12/16/2020 12:01:38 AM	Error	Status Description : Gateway Timeout
12/16/2020 12:01:38 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15532 ms)"}
12/16/2020 12:01:38 AM	Success	Running command successfully: Arduino StopRecordThreshold
12/16/2020 12:01:39 AM	Success	Running command successfully: Arduino TurnOff
12/16/2020 12:01:39 AM	Warning	AWS 5b4de9c195f74bc0bb0649774205181c:yiKvB6hsT3rD83/qLNwW7Xjj/O8=
12/16/2020 12:01:54 AM	Error	Status Code : GatewayTimeout
12/16/2020 12:01:54 AM	Error	Status Description : Gateway Timeout
