Date:	Status:	Description:
12/15/2020 12:00:02 AM	Error	Status Code : GatewayTimeout
12/15/2020 12:00:02 AM	Error	Status Description : Gateway Timeout
12/15/2020 12:00:02 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15250 ms)"}
12/15/2020 12:00:02 AM	Success	Running command successfully: Arduino StopRecordThreshold
12/15/2020 12:00:03 AM	Success	Running command successfully: Arduino TurnOff
12/15/2020 12:00:03 AM	Warning	AWS 85c2f50e7dba476bac7c5c621e447bbb:T5OSdTZ+fg7QCuC6gSOu4qM2KbQ=
12/15/2020 12:00:18 AM	Error	Status Code : GatewayTimeout
12/15/2020 12:00:18 AM	Error	Status Description : Gateway Timeout
12/15/2020 12:00:18 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15516 ms)"}
12/15/2020 12:00:18 AM	Success	Running command successfully: Arduino StopRecordThreshold
12/15/2020 12:00:19 AM	Success	Running command successfully: Arduino TurnOff
12/15/2020 12:00:19 AM	Warning	AWS 85c2f50e7dba476bac7c5c621e447bbb:r0uf3odD2saILP21yY6+CIfVQjs=
12/15/2020 12:00:34 AM	Error	Status Code : GatewayTimeout
12/15/2020 12:00:34 AM	Error	Status Description : Gateway Timeout
12/15/2020 12:00:34 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15516 ms)"}
12/15/2020 12:00:34 AM	Success	Running command successfully: Arduino StopRecordThreshold
12/15/2020 12:00:35 AM	Success	Running command successfully: Arduino TurnOff
12/15/2020 12:00:35 AM	Warning	AWS 85c2f50e7dba476bac7c5c621e447bbb:tpWHyOYikcS0A3kcqiMMcgW4zVI=
12/15/2020 12:00:50 AM	Error	Status Code : GatewayTimeout
12/15/2020 12:00:50 AM	Error	Status Description : Gateway Timeout
12/15/2020 12:00:50 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15531 ms)"}
12/15/2020 12:00:50 AM	Success	Running command successfully: Arduino StopRecordThreshold
12/15/2020 12:00:51 AM	Success	Running command successfully: Arduino TurnOff
12/15/2020 12:00:51 AM	Warning	AWS 85c2f50e7dba476bac7c5c621e447bbb:wQbVb3MpisHv3iMia9G9zGhkWMQ=
12/15/2020 12:01:06 AM	Error	Status Code : GatewayTimeout
12/15/2020 12:01:06 AM	Error	Status Description : Gateway Timeout
12/15/2020 12:01:06 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15531 ms)"}
12/15/2020 12:01:06 AM	Success	Running command successfully: Arduino StopRecordThreshold
12/15/2020 12:01:07 AM	Success	Running command successfully: Arduino TurnOff
12/15/2020 12:01:07 AM	Warning	AWS 85c2f50e7dba476bac7c5c621e447bbb:lNYqR/AdroybaqAALUsmNszeE8s=
12/15/2020 12:01:22 AM	Error	Status Code : GatewayTimeout
12/15/2020 12:01:22 AM	Error	Status Description : Gateway Timeout
12/15/2020 12:01:22 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15531 ms)"}
12/15/2020 12:01:22 AM	Success	Running command successfully: Arduino StopRecordThreshold
12/15/2020 12:01:23 AM	Success	Running command successfully: Arduino TurnOff
12/15/2020 12:01:23 AM	Warning	AWS 85c2f50e7dba476bac7c5c621e447bbb:zZfAx7kdTLhOeJGvIDQCcIu9FCE=
12/15/2020 12:01:38 AM	Error	Status Code : GatewayTimeout
12/15/2020 12:01:38 AM	Error	Status Description : Gateway Timeout
