Date:	Status:	Description:
12/25/2020 12:00:12 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:00:12 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:00:12 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15625 ms)"}
12/25/2020 12:00:12 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:00:13 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:00:13 AM	Warning	AWS 920792403916498880e461d059b0f1f1:YylPTFflbcaI2UUmkS+5+UxodXA=
12/25/2020 12:00:28 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:00:28 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:00:28 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15625 ms)"}
12/25/2020 12:00:28 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:00:29 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:00:29 AM	Warning	AWS 920792403916498880e461d059b0f1f1:UDcMwnQjMBQZAHsbDKpvsBNG4nI=
12/25/2020 12:00:44 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:00:44 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:00:44 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15609 ms)"}
12/25/2020 12:00:44 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:00:45 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:00:45 AM	Warning	AWS 920792403916498880e461d059b0f1f1:/jKPR24YLyw+J+0RbSORN1HfZCM=
12/25/2020 12:01:00 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:01:00 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:01:00 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15609 ms)"}
12/25/2020 12:01:00 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:01:01 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:01:01 AM	Warning	AWS 920792403916498880e461d059b0f1f1:8GK7VKr8/U0WKT3FzZoorTPY4Io=
12/25/2020 12:01:16 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:01:16 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:01:16 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15109 ms)"}
12/25/2020 12:01:16 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:01:17 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:01:17 AM	Warning	AWS 920792403916498880e461d059b0f1f1:0lGcz35eNd7/fUX24w7S6RwekiM=
12/25/2020 12:01:25 AM	Warning	DELETE SESSION
12/25/2020 12:01:25 AM	Error	Status Code : NotFound
